iter	Passed	Remaining
172	4432	1276494
173	4457	1276559
174	4482	1276173
175	4506	1275838
176	4533	1276231
177	4560	1276385
178	4584	1275992
179	4609	1275890
180	4634	1275649
181	4658	1275230
182	4684	1275108
183	4706	1274149
184	4731	1274061
185	4758	1274368
186	4785	1274785
187	4814	1275642
188	4842	1276351
189	4869	1276480
190	4896	1276930
191	4923	1277188
192	4952	1277963
193	4977	1277894
194	5001	1277392
195	5026	1277172
196	5051	1277078
197	5080	1277778
198	5106	1277903
199	5133	1278253
200	5158	1277987
201	5181	1277471
202	5207	1277518
203	5231	1276924
204	5257	1276962
205	5282	1276980
206	5306	1276567
207	5331	1276249
208	5358	1276571
209	5382	1276150
210	5406	1275733
211	5429	1275055
212	5457	1275737
213	5482	1275442
214	5510	1275892
215	5533	1275437
216	5558	1275102
217	5581	1274581
218	5605	1274250
219	5625	1272853
220	5650	1272820
221	5676	1272736
222	5704	1273303
223	5731	1273634
224	5756	1273479
225	5784	1273965
226	5811	1274327
227	5895	1286948
228	5931	1289154
229	5959	1289691
230	5987	1289948
231	6012	1289849
232	6040	1290136
233	6065	1290003
234	6092	1290214
235	6118	1290242
236	6145	1290421
237	6171	1290407
238	6200	1290920
239	6227	1291200
240	6255	1291599
241	6288	1292900
242	6317	1293527
243	6342	1293286
244	6417	1303342
245	6455	1305561
246	6481	1305574
247	6509	1305938
248	6538	1306438
249	6566	1306688
250	6591	1306508
251	6616	1306165
252	6640	1305759
253	6667	1305765
254	6689	1305033
255	6713	1304427
256	6737	1304010
257	6762	1303794
258	6785	1303170
259	6810	1302927
260	6835	1302596
261	6858	1301938
262	6882	1301666
263	6911	1302002
264	6933	1301268
265	6958	1301010
266	6983	1300832
267	7008	1300514
268	7033	1300232
269	7058	1300115
270	7082	1299654
271	7106	1299150
272	7129	1298627
273	7156	1298769
274	7180	1298306
275	7202	1297595
276	7227	1297401
277	7252	1297069
278	7277	1296850
279	7302	1296673
280	7325	1296151
281	7350	1295904
282	7374	1295585
283	7397	1294954
284	7420	1294478
285	7443	1293915
286	7470	1294033
287	7495	1293778
288	7518	1293337
289	7543	1292995
290	7567	1292665
291	7590	1292145
292	7614	1291794
293	7634	1290726
294	7657	1290161
295	7683	1290276
296	7707	1289863
297	7731	1289530
298	7756	1289364
299	7781	1289110
300	7807	1289156
301	7834	1289300
302	7864	1289970
303	7890	1289878
304	7911	1289073
305	7934	1288537
306	7960	1288533
307	7989	1288939
308	8018	1289431
309	8045	1289578
310	8069	1289294
311	8099	1289909
312	8123	1289604
313	8149	1289538
314	8175	1289552
315	8203	1289797
316	8226	1289374
317	8254	1289685
318	8281	1289758
319	8310	1290161
320	8335	1290006
321	8360	1289831
322	8386	1289863
323	8409	1289361
324	8433	1288961
325	8454	1288289
326	8477	1287823
327	8498	1287033
328	8523	1286805
329	8546	1286445
330	8571	1286171
331	8594	1285756
332	8620	1285769
333	8644	1285443
334	8670	1285401
335	8697	1285537
336	8718	1284852
337	8742	1284568
338	8768	1284514
339	8791	1284015
340	8815	1283767
341	8840	1283650
342	8866	1283660
343	8889	1283252
344	8911	1282649
345	8936	1282471
346	8959	1282048
347	8985	1281999
348	9012	1282166
349	9034	1281640
350	9062	1281896
351	9086	1281548
352	9111	1281473
353	9136	1281389
354	9161	1281141
355	9186	1280994
356	9209	1280600
357	9233	1280319
